id,quote
12,"Nie pozostawiam żadnego sztywnego nass-ı, żadnego dogmatu, żadnej zamrożonej, uformowanej zasady jako mojego duchowego dziedzictwa. Moim duchowym dziedzictwem jest wiedza i rozum. Ci, którzy chcą przyjąć mnie po mnie, będą moimi duchowymi spadkobiercami, jeśli zaakceptują przewodnictwo rozumu i nauki na tej podstawowej osi."
13,"Wybaczam im, ponieważ mam serce; oni nie wybaczają mi, ponieważ są bez serca."
14,"Nie chcę wychodzić za mąż dla samego wychodzenia za mąż. Aby stworzyć nowe życie rodzinne w naszej ojczyźnie, muszę najpierw sama dać przykład. Czy kobieta może pozostać jak straszydło?"
15,Nawet w bitwie nie żywię urazy do wroga; myślę tylko o stosowaniu zasad wojskowych.
16,"Widzieć mnie niekoniecznie oznacza widzieć moją twarz. Wystarczy, że zrozumiesz i poczujesz moje idee, moje uczucia."
17,"Mam reputację osoby, która dużo pije. Na pewno też o tym słyszałeś. W rzeczywistości piję od dawna, lubię pić. Ale przestaję pić, kiedy chcę. Nigdy nie włożyłem kropli do ust podczas służby. Nie mieszam alkoholu w sprawy ojczyzny. Picie i obowiązek to dwie różne rzeczy. Kiedy wpływają na siebie nawzajem, obowiązek należy oczywiście przedkładać nad przyjemność, a picie należy natychmiast przerwać."
18,"Nie wyznaję żadnej religii i czasami chciałbym, aby wszystkie religie poszły na dno morza. To słabi władcy muszą używać religii, aby utrzymać swój rząd. Wciągają ludzi w pułapkę. Moi ludzie nauczą się zasad demokracji, dyktatu prawdy i nauk ścisłych. Przesądy muszą zostać porzucone. Każdy może czcić tak, jak chce. Każdy podąża za głosem swojego sumienia. Ale to zachowanie nie może być sprzeczne ze zdrowym rozsądkiem ani prowadzić do sprzeciwu wobec wolności innych."
19,W moich oczach nie ma nic; jestem tylko miłośnikiem zasług.
20,"Moje skromne ciało z pewnością pewnego dnia obróci się w proch, ale Republika Turcji pozostanie wieczna. A naród turecki będzie nadal kroczył ścieżką cywilizacji, bez wahania, z zasadami, które gwarantują bezpieczeństwo i szczęście."
21,"Moje obowiązki wobec narodu tureckiego, społeczeństwa tureckiego i przyszłości tureckości nie są zakończone; wy je wypełnicie. Ty również powinieneś powtórzyć moje słowa tym, którzy przyjdą po tobie."
22,"Czy rząd jest dobry czy zły? Aby zrozumieć, który rząd jest dobry, a który zły, należy zastanowić się, jaki jest cel rządu. Rząd ma dwa cele. Jednym z nich jest ochrona narodu, a drugim zapewnienie dobrobytu narodu. Rząd, który zapewnia te dwie rzeczy, jest dobry, a rząd, który tego nie robi, jest zły."
23,"Ujmując to jednym słowem, możemy powiedzieć, że nowe państwo tureckie jest państwem ludu; jest państwem ludu. Instytucje z przeszłości były państwem jednostek, państwem osobowości."
24,"Czego może brakować społeczeństwu? Istnieją siły, które czynią naród narodem, które go rozwijają: Siły myśli, siły społeczne. Jeśli myśli są pełne bezsensownych, bezużytecznych, niepojętych bzdur, myśli te są chore. Również jeśli życie społeczne jest pełne bezużytecznych, szkodliwych zwyczajów i tradycji, które są dalekie od rozumu i logiki, nie może być uważane za życie. Nie może się rozwijać, nie może się rozwijać i pozostaje w miejscu, w którym się znajduje, jak udar mózgu."
25,"Zawsze będziemy mówić sobie prawdę. Niezależnie od tego, czy przyniesie to nieszczęście czy szczęście, dobro czy zło, zawsze będziemy trzymać się prawdy."
26,Postęp narodu zależy od edukacji jego młodzieży.
27,"Może nadejść czas, gdy będą podejmowane wysiłki, by o mnie zapomnieć lub sprawić, że zostanę zapomniany. Mogą być tacy, którzy zaprzeczają moim ideom i krytykują mnie. Mogą być nawet wśród tych, których znam i w których mocno wierzę. Jednak nasiona, które zasialiśmy, są tak zwięzłe i silne, że idee te powrócą z Indii i Egiptu, powrócą ponownie, a ich owocne rezultaty wypełnią serca."
28,"Aby dzieło miało wartość moralną, musi pochodzić z wyższego źródła niż pojedynczy ludzie. Tym źródłem jest społeczność, naród. W rzeczywistości moralność, poza i ponad prywatnymi jednostkami, może być tylko społeczna, narodowa. Jest to moralność narodowa, która wymaga od ludzi zainteresowania, gorliwości, samopoświęcenia, a gdy to konieczne, dobrowolnego poświęcenia dla dobra społecznego porządku i spokoju narodu, jego dobrobytu i dobrobytu w teraźniejszości i przyszłości, jego pokoju i dobrobytu oraz jego postępu i rozwoju cywilizacyjnego. W doskonałym narodzie wymagania moralności narodowej są stawiane przez członków tego narodu z sumiennym, emocjonalnym impulsem, prawie bez osądu. Jest to największe uczucie narodowe, narodowe podniecenie. Celem edukacji narodowej, którą narodowe matki, narodowi ojcowie, narodowi nauczyciele i narodowa starszyzna będą niestrudzenie i nieustannie dawać dzieciom narodu, każdemu członkowi narodu, w domu, w szkole, w wojsku, w fabryce, wszędzie i przy każdej pracy, powinno być wzmocnienie tego wysokiego poczucia narodowego. Stwierdzenie, że moralność jest narodowa i społeczna oraz że jest wyrazem narodowego sumienia, jest jednocześnie uznaniem świętego charakteru moralności. Moralność jest święta, ponieważ nie ma sobie równej pod względem wartości i nie może być mierzona żadną inną wartością. Moralność jest święta, ponieważ jest przypisana podmiotowi o najlepszych intencjach moralnych. Tym podmiotem jest społeczeństwo i tylko ono. Nie ma innego podmiotu poza nim. W boskości nawet społeczność, pomyślana w sposób wzorcowy, jest nieodłączna. Życie duchowe, które wpływa na nasze sumienia, kształtuje się bowiem z czynów i działań członków społeczeństwa. W rzeczywistości społeczeństwo jest ośrodkiem aktywności intelektualnej i moralnej."
29,"Nie przyjmujemy zachodniej cywilizacji po to, by ją naśladować. Przyjmujemy to, co widzimy w niej dobrego, ponieważ uważamy to za odpowiednie dla naszej własnej struktury, w ramach poziomu cywilizacji światowej."
30,"Kiedy mówimy ignorant, nie mamy na myśli tych, którzy nie uczyli się w szkole. Mamy na myśli wiedzę, znajomość prawdy."
31,"Jesteśmy ludźmi, którzy walczą o życie i niepodległość, i których serca krwawią na widok tych krwawych zmagań i na widok całego cywilizowanego świata stojącego jak odrętwiały widz."
32,"Wykorzystujemy wszystkie środki w oparciu o jedną i tylko jedną podstawową wizję. Ta wizja jest następująca: Podnieść naród turecki do pozycji, na jaką zasługuje w cywilizowanym świecie, wzmacniać Republikę Turcji każdego dnia coraz bardziej na jej niewzruszonych fundamentach ... i w tym celu zabić ideę tyranii ...."
33,"Nie jesteśmy ani demokratami, ani socjalistami. Nasz styl administrowania nie przypomina ani rządów demokratycznych, ani socjalistycznych. Jesteśmy dumni z tego, że przypominamy samych siebie."
34,"Naszym zdaniem, w rozumieniu Republiki Turcji, kobieta jest wysoką i honorową istotą na najbardziej szanowanym poziomie, ponad wszystko, dziś, jak i w całej tureckiej historii."
35,"Złoczyńcy, którzy sprowadzili nas na manowce, często ukrywali się pod zasłoną religii i zawsze zwodzili naszych czystych i czystych ludzi słowami zasad religijnych. Przeczytaj i posłuchaj naszej historii... Zobaczysz, że zło, które zrujnowało, zniewoliło i zdewastowało naród, zawsze pochodziło z niewiary i zła pod przykrywką religii."
36,"Naszym głównym programem w administracji państwowej jest program Republikańskiej Partii Ludowej. Zawarte w nim zasady są głównymi liniami, które oświecają nas w administracji i polityce. Jednakże zasady te nigdy nie mogą być utożsamiane z dogmatami ksiąg, które rzekomo zstąpiły z nieba. Nasze inspiracje czerpiemy nie z nieba i niewidzialnego, ale bezpośrednio z życia. Jest to kraj, w którym żyjemy, naród turecki, z którego się wywodzimy, oraz wnioski, jakie wyciągnęliśmy z historii narodów, która odnotowuje tysiące klęsk i cierpień."
37,Nasz naród jest zasadniczo demokratyczny. Potwierdzają to najgłębsze przeszłe etapy jego kultury i tradycji.
38,"Nasi intelektualiści powinni nad tym popracować. Dlaczego nie przyjadą do Anatolii i nie spróbują! Dlaczego nie wejdą w bezpośredni kontakt z narodem! Powinni podróżować po kraju, poznawać naród. Powinni zobaczyć, czego mu brakuje i pokazać to. W ten sposób można kochać naród. W przeciwnym razie słowa są bezużyteczne!"
39,"Obecnie wielu naszych współwyznawców cierpi w niewoli. Naszym największym życzeniem jest, aby oni również uzyskali niezależność w swoim własnym środowisku i dążyli do dobrobytu i rozwoju swoich krajów z pełną niezależnością."
40,"Nasz obecny rząd, nasza organizacja państwowa jest organizacją państwową i rządem, który naród bezpośrednio i spontanicznie sam stworzył, a jego nazwa to Republika. Nie ma już dawnego rozdziału między rządem a narodem. Rząd jest narodem, a naród jest rządem. Teraz rząd i członkowie rządu w pełni zdali sobie sprawę, że nie są oddzieleni od narodu i że naród jest panem."
41,Tworzenie prawa zgodnie z dzisiejszymi potrzebami i jego dobre wdrażanie jest jednym z najważniejszych sposobów na dobrobyt i postęp.
42,"Bułgarzy, Serbowie, Węgrzy, Rumuni trzymali się swoich pługów, zachowali swój byt i rośli w siłę; nasz naród natomiast był włóczęgą za takimi zdobywcami...."
43,"Tak jak miało to miejsce przez te wszystkie stulecia, nawet dzisiaj istnienie tych, którzy próbują używać religii jako narzędzia i instrumentu do osiągania wszelkiego rodzaju politycznych i osobistych celów i korzyści, wykorzystując ignorancję i uprzedzenia narodów, zarówno wewnątrz, jak i na zewnątrz, niestety nie powstrzymuje nas od zabrania głosu w tej sprawie."
44,"Dyktator to osoba, która tłumi wolę ludzi i zmusza ich do posłuszeństwa. Nie chcę łamać serc, chcę je zdobywać."
45,"Wszystko, co widzimy na powierzchni ziemi, jest dziełem kobiet."
46,"Najbardziej prawdziwym przewodnikiem po wszystkim na świecie, materialnym, duchowym, życiowym i sukcesu jest wiedza i nauka. Szukanie wskazówek poza nauką i nauką jest bezmyślnością, ignorancją i zejściem z właściwej ścieżki. Konieczne jest jedynie zrozumienie rozwoju nauki i nauki w każdej minucie naszego życia i śledzenie postępu w odpowiednim czasie."
47,"Jeśli nie ma pokoju, spokoju i dobrego współistnienia na świecie i wśród narodów świata, naród jest pozbawiony pokoju, bez względu na to, co robi dla siebie."
48,"Nigdzie na świecie, w żadnym narodzie, nie można wymienić pracy kobiet ponad pracę anatolijskiej wieśniaczki, a żadna kobieta z jakiegokolwiek narodu na świecie nie może powiedzieć: ""Pracowałam więcej niż anatolijska kobieta, pracowałam tyle, ile anatolijska kobieta, prowadząc mój naród do wyzwolenia i zwycięstwa""."
49,"Krzywda wyrządzona przez wroga jest bolesna dla kraju i jego obywateli. Ale jeszcze bardziej bolesne jest, gdy kraj jest krzywdzony przez ludzi, których uznaje za wielkich wśród swojej rasy i których nosi na czele. To nieoczekiwana rana dla serca i sumienia."
50,"Nasz naród jest narodem poświęcającym się dla swojej ojczyzny, wolności i suwerenności; udowodnił to."
51,"Życie rodzinne jest centrum, osią życia społecznego. Rodzina składa się z mężczyzny i kobiety. Nie będę udzielał tylu wyjaśnień na temat naszych kobiet, co na temat naszych mężczyzn, ale nie mogę pominąć tej wzniosłej egzystencji z pobłażaniem, zwłaszcza w ich obecności. Jeśli pozwolisz, powiem kilka słów i łatwo zrozumiesz, co chcę powiedzieć. Podczas moich podróży zaobserwowałem, że nie tylko na wsiach, ale zwłaszcza w miastach i miasteczkach, nasze koleżanki z wielką starannością i uwagą zakrywają swoje twarze i oczy. Domyślam się, że ten styl, zwłaszcza w tym gorącym sezonie, musi być dla nich powodem udręki i cierpienia. Koledzy, to trochę dzieło naszej hodgepodge. Jest to wynik tego, że jesteśmy bardzo wyrozumiali i bardzo ostrożni. Ale, szanowni przyjaciele, nasze kobiety, podobnie jak my, są ludźmi świadomymi i rozważnymi. Aby zaszczepić w nich silne poczucie moralności, wyjaśnić naszą narodową moralność i nacechować ich umysły światłem i dobrocią, nie ma potrzeby być zbyt mieszanym. Niech pokażą światu swoje twarze. I niech uważnie patrzą na świat swoimi oczami. Nie ma się czego obawiać."
52,"Wiedz dobrze, że Republika Turcji nie może być krajem szejków, derwiszów, uczniów i wyznawców. Najprawdziwszą i najbardziej autentyczną sektą jest sekta cywilizacji. Czynienie tego, co nakazuje i czego wymaga cywilizacja, wystarczy, by być człowiekiem."
53,"Panowie, naród turecki, który założył Republikę Turcji, jest cywilizowany. Cywilizowani w historii, cywilizowani w rzeczywistości. Jednakże, jako wasz brat, przyjaciel i ojciec, jestem zobowiązany poinformować was, że mieszkańcy Republiki Turcji, którzy twierdzą, że są cywilizowani, muszą udowodnić i pokazać, że są cywilizowani swoimi ideami i umysłami. Mieszkańcy Republiki Turcji, którzy twierdzą, że są cywilizowani, muszą pokazać, że są cywilizowani swoim życiem rodzinnym i sposobem, w jaki żyją. Innymi słowy, prawdziwie cywilizowani mieszkańcy Turcji, którzy twierdzą, że są cywilizowani, są zobowiązani do zademonstrowania w praktyce, że są cywilizowanymi i zaawansowanymi ludźmi, nawet w życiu zewnętrznym. Muszę wyrazić te ostatnie słowa w taki sposób, aby cały kraj i świat zrozumiał, co mam na myśli. Chciałbym to wyjaśnić, zadając pytanie waszej delegacji, ogółowi społeczeństwa. Czy nasz strój jest narodowy? (Nie, bez okrzyków) Czy nasz strój jest cywilizowany i międzynarodowy? (Nie, bez okrzyków) Zgadzam się z wami. Nie, nie, nie. Przepraszam za wyrażenie. Strój, który można opisać jako odrapany, nie jest ani narodowy, ani międzynarodowy. A więc naród bez ubrań? Czy to możliwe, przyjaciele? Czy chcecie być opisywani w taki sposób, przyjaciele? (Nie, nie, absolutnie nie) Czy jest jakikolwiek sens w tynkowaniu bardzo cennego klejnotu błotem i pokazywaniu go światu enzori? A ruda jest ukryta w tym błocie. Ale czy wypada mówić, że się nie rozumie? Konieczne i naturalne jest wyrzucenie błota, aby pokazać rudę. Jeśli konieczne jest wykonanie obudowy dla zachowania rudy, to czy nie powinna ona być wykonana ze złota lub platyny? Czy można się wahać w obliczu tak oczywistej prawdy? Jeśli są tacy, którzy sprawiają, że się wahamy, czy nadal powinniśmy się wahać, by ocenić ich humor i elokwencję? Przyjaciele, nie ma potrzeby badania i ożywiania turańskiego stroju. Cywilizowany i międzynarodowy strój jest dla nas bardzo cenny i godny naszego narodu. Przyjmiemy go. Będziemy nosić parę skittlesów lub fotinów na stopach, spodnie na nogach, kamizelkę, koszulę, krawat, kołnierzyk, kurtkę i oczywiście, jako uzupełnienie, serape z parasolem na głowie. Chciałbym powiedzieć to bardzo wyraźnie: Nazwa tego ubioru to kapelusz. Jak redingot, jak bonjour, jak smoking, jak surdut... Oto nasz kapelusz. Są tacy, którzy twierdzą, że jest to niedozwolone. Chciałbym im powiedzieć, że jesteście bardzo ignorantami i bardzo ignorantami. I chciałbym ich zapytać: Dlaczego dozwolone jest noszenie fezu, który jest greckim serape, ale nie kapelusza, i ponownie chciałbym przypomnieć im i całemu narodowi, kiedy, dlaczego i jak nosili szatę, która była strojem bizantyjskich kapłanów i żydowskich rabinów?"
54,"Jeśli naród jest wielki, staje się większy poprzez uznanie samego siebie."
55,"Sposobem, który należy zastosować w edukacji i szkoleniach, jest uczynienie wiedzy praktycznym i użytecznym narzędziem, które zapewnia sukces w życiu materialnym, a nie ozdobą, środkiem zastraszania lub cywilizowaną przyjemnością."
56,Suwerenność należy do narodu.
57,Imperializm jest skazany na zagładę.
58,"Najlepsze jednostki to te, które myślą o społeczeństwie, do którego należą, a nie o sobie, i poświęcają swoje życie ochronie jego istnienia i szczęścia."
59,"Ważne jest, aby chłopcy i dziewczęta otrzymywali taką samą edukację. Dzieci w tym kraju muszą być przygotowane do bycia aktywnymi, skutecznymi i odnoszącymi sukcesy w życiu gospodarczym. Muszą być wychowywane zgodnie z naszą narodową moralnością, cywilizowanymi zasadami i wolnymi ideami. Tak zwana moralność zrodzona z ucisku i strachu nie tylko nie jest cnotą, ale jest również zawodna."
60,"O bohaterska Turczynko, jesteś godna nie czołgać się po ziemi, ale wznieść się do nieba na ramionach."
61,"W porównaniu do przeszłości będziemy pracować ciężej. Osiągniemy więcej w krótszym czasie. Nie mam wątpliwości, że i w tym odniesiemy sukces. Ponieważ naród turecki ma wysoki charakter. Naród turecki jest pracowity. Naród turecki jest inteligentny. Ponieważ naród turecki wie, jak pokonywać trudności dzięki narodowej jedności i solidarności."
62,"Nasi młodzi ludzie i intelektualiści powinni najpierw zdecydować, po co maszerują i co zamierzają zrobić we własnych umysłach, uczynić je strawnymi i akceptowalnymi dla opinii publicznej, a dopiero potem je przedstawić."
63,"Edukować młodzież. Przekaż im pozytywne idee wiedzy i mądrości. Razem z nimi osiągniesz światło przyszłości. Kiedy wolne idee zostaną wprowadzone w życie, naród turecki powstanie."
64,Nie bój się mówić prawdy.
65,"Sukces w sztukach pięknych jest najpewniejszym dowodem sukcesu wszystkich rewolucji. Szkoda narodów, którym się to nie udaje. Pomimo wszystkich swoich osiągnięć, zawsze będą pozbawione uznania za wysoką ludzkość w dziedzinie cywilizacji."
66,"Ci, którzy naprawdę chcą służyć krajowi, muszą mieć otwarte serce; muszą mówić otwarcie. Ludzie i ci, którzy prowadzą i zarządzają narodem, muszą mówić bardzo otwarcie. Rzeczy, które się wydarzyły i rzeczy, które należy zrobić, muszą być wyrażone takimi, jakie są. W przeciwnym razie oszukiwanie narodu sofistyką jest nastawianiem go przeciwko sobie. Naszą zasadą musi być zawsze wyrażanie prawdy narodowi. To właśnie oznacza oświecanie narodu."
67,"Suwerenność i sułtanat nie są nikomu przekazywane w drodze negocjacji i dyskusji, ponieważ jest to kwestia nauki. Suwerenność i sułtanat są przejmowane siłą, mocą i siłą. Osmanidowie przejęli suwerenność i sułtanat narodu tureckiego siłą i utrzymywali tę dominację przez sześć wieków. Teraz naród turecki ostrzegł granice tych przestępców i wziął suwerenność i sułtanat w swoje ręce poprzez bunt. To jest rozkaz. Stawką nie jest kwestia tego, czy naród zrezygnuje z suwerenności i sułtanatu. Nie o to chodzi. Chodzi jedynie o wyrażenie faktu, który został już zadekretowany. To się nieuchronnie stanie. Jeśli zebrani tutaj, zgromadzenie i wszyscy postrzegają sprawę jako naturalną, to moim zdaniem będzie to korzystne. W przeciwnym razie prawda nadal będzie wyrażana we właściwy sposób. Ale być może niektóre głowy zostaną odcięte."
68,"Ostatni oddech każdej jednostki musi pokazać, że oddech narodu tureckiego nie zgaśnie, że jest wieczny. Powstań, Turku! Nie ma dla ciebie limitu wysokości. To jest motto."
69,"Jeśli ci, którzy służą w jakikolwiek sposób, oczekują wielkich nagród od narodu, nie działają we właściwy sposób. Nie powinniśmy wymagać zbyt wiele od narodu. Ci, którzy służą, nie zrobili nic innego, jak tylko wypełnili swój honorowy obowiązek."
70,"Przede wszystkim konieczne jest wyeliminowanie ignorancji. Dlatego kamieniem węgielnym naszego programu edukacyjnego i polityki edukacyjnej jest eliminacja ignorancji. Dopóki nie zostanie ona wyeliminowana, pozostaniemy tam, gdzie jesteśmy. Coś, co stoi w miejscu, oznacza, że się cofa."
71,"Mimo wszystko z pewnością idziemy w kierunku światła. Siłą, która podtrzymuje we mnie tę wiarę, jest nie tylko moje nieodwzajemnione uczucie do ukochanego kraju i narodu, ale także fakt, że widzę młodzież próbującą szerzyć i szukać światła w dzisiejszej ciemności, niemoralności i szarlatanerii, wyłącznie z miłości do ojczyzny i prawdy. Tutaj, mój drogi Ruşen Eşref Bey, widzę cię jako naturalnego członka tej błogosławionej frakcji. Z niecierpliwością czekam na twoje ważniejsze usługi z dnia na dzień. Cieszę się, że mogę cię dziś poznać, który jest bardziej przeznaczony do wdzięczności i honoru jutra niż dzisiaj."
72,"Narody, które nalegają na zachowanie pewnych tradycji i przekonań, które nie są oparte na żadnych spójnych dowodach, będą miały trudności z postępem, być może wcale. Narody, które nie mogą przezwyciężyć warunków i uwarunkowań tradycji w postępie, nie mogą postrzegać życia zgodnie z rozumem i faktami."
73,"Nigdy nie zapominaj, że Republika wymaga od ciebie pokoleń wolnych od myśli, sumienia i mądrości."
74,"Powodem istnienia rządu jest zapewnienie porządku publicznego w kraju oraz pokoju i komfortu narodu. Prawdziwy porządek publiczny musi panować w całym kraju. Naród musi być spokojny w wielkim pokoju i zaufaniu. Ci, którzy próbują naruszyć zaufanie ludzi, integralność i porządek publiczny państwa w jakimkolwiek zakątku naszego kraju, muszą znaleźć przeciwko sobie wszystkie siły państwa."
75,W kraju bez wolności panuje śmierć i dekadencja. Wolność jest matką każdego postępu i zbawienia.
76,"Wolność i niepodległość to mój charakter. Jestem człowiekiem stworzonym z miłości do niepodległości, która jest najcenniejszym dziedzictwem mojego narodu i moich wielkich przodków."
77,"Cechą charakterystyczną zaawansowanego rządomyślności jest to, że potrafi sprawić, że ludzie szczerze wierzą w jego współczucie, jak również w jego władzę."
78,"Cechą wyróżniającą zaawansowany rząd jest jego zdolność do sprawiania, by ludzie szczerze wierzyli w jego współczucie, a także w jego moc. Byłoby bardzo właściwe, aby przywiązywać wagę do rozwoju tej mentalności w jak największym stopniu u wszystkich urzędników republiki, wielkich i małych."
79,"Ci, którzy zdają sobie sprawę z celu rewolucji, zawsze będą w stanie go chronić."
80,"Konieczne jest codzienne pogłębianie i wspieranie fundamentów rewolucji. Nie oszukujmy się, cywilizowany świat jest daleko przed nami. Musimy go dogonić, by znaleźć się w kręgu cywilizacji."
81,"W życiu społecznym ludzie mogą być postrzegani w sieci praw i obowiązków. Dopóki ludzie pozostają ludźmi, nie mogą wydostać się z tej sieci."
82,"Siłą, która dominuje w życiu i działalności ludzi jest kreatywność i zdolność do wynalazków. Stało się oczywiste, że ludzie zdolni do inwencji i kreatywności muszą być kulturalni."
83,"Dobrobyt całej ludzkości musi zastąpić głód i ucisk. Obywatele świata muszą być wyedukowani, by odwrócić się od zazdrości, chciwości i nienawiści."
84,"Ci włóczędzy, marząc o zrobieniu czegoś, założyli partię o nazwie TKP, rzekomo dla dobra naszego kraju i narodu. Na czele tej partii stoi Mustafa Suphi i jemu podobni. Moim zdaniem, ci ludzie podjęli kilka dziwacznych prób, nie z patriotycznych uczuć i prawdziwych uczuć narodowych, ale być może w celu zdobycia przychylności mocodawców w Moskwie, którzy dali im pieniądze, chronili ich i patronowali im. Próbowali różnymi kanałami wprowadzić do kraju rosyjski bolszewizm."
85,"Nasze kobiety będą miały wiedzę i naukę i przejdą przez wszystkie etapy edukacji, przez które przechodzą mężczyźni. Kobiety będą kroczyć razem z mężczyznami w życiu społecznym i będą sobie nawzajem pomagać i wspierać się."
86,Dogadywanie się z sąsiadami i wszystkimi państwami jest istotą tureckiej polityki.
87,"Nie uznajemy wyjątków od jakiejkolwiek części kapitulacji. Nie uznajemy żadnych kapitulacji sądowych, finansowych ani wojskowych."
88,"Wychowanie naszych dziewcząt zdolnych do obrony i ochrony wysokich interesów ojczyzny i narodu powinno być podstawą edukacji narodowej. Niezbędne jest zapewnienie naszym dziewczętom kompetencji intelektualnych. Nie ma wątpliwości, że tureckie kobiety posiadają geniusz. Tureckie kobiety wyraziły pragnienie włączenia ich do klasy politycznej, która zarządza losem kraju w imieniu narodu. Dlatego nie możemy trzymać naszych kobiet z dala od jakichkolwiek obowiązków obywatelskich. Ponieważ wszystkie prawa wynikają z obowiązków."
89,"Komunizm jest kwestią społeczną. Warunki społeczne naszego kraju i siła jego tradycji religijnych i narodowych potwierdzają przekonanie, że komunizm w Rosji nie jest dla nas odpowiedni. Dlatego nasze stosunki i relacje z Rosjanami są związane wyłącznie z zasadami unii i sojuszu dwóch niezależnych państw."
90,Chłop jest dobroczyńcą nas wszystkich. Będziemy myśleć o dobrobycie tego zaszczytnego elementu.
91,"Wiecie, że nasze serca drżą jako naród z powodu naszych spraw kulturalnych. Na czele tych spraw muszę wam powiedzieć, że gorliwie staramy się ustanowić turecką historię na jej właściwych fundamentach i nadać językowi tureckiemu szerokość, na jaką zasługuje. Możemy już wierzyć, że te wysiłki przyniosą olśniewające rezultaty."
92,"Nadal organizujemy nasze egzaminy kulturowe zgodnie z nowymi i nowoczesnymi zasadami. Studia nad historią i językiem tureckim już przynoszą oczekiwane, pouczające rezultaty."
93,"Słuchałem uważnie tego, co mówił Jego Królewska Mość. Czy chcą, abym doradzał głowie państwa oddanie Niemcom kawałka jego kraju? Jak człowiek taki jak ja, który całe życie walczył o niepodległość swojego kraju i o to, by nie oddać nikomu ani centymetra swojej ziemi, może być narzędziem czegoś sprzecznego z jego przekonaniami? Widzę, Wasza Królewska Mość, że nie znają dobrze mnie i mojego charakteru!"
94,"Ponieważ urząd sułtana jest również urzędem kalifatu, nasz sułtan jest również głową Republiki Islamu."
95,"Bogactwo i własność obciążają mnie. Czuję wielką ulgę, gdy oddaję je mojemu szlachetnemu narodowi. Jaki jest pożytek z bogactwa; bogactwo człowieka powinno tkwić w jego własnej duchowej osobowości!"
96,"Nasza siła narodowa, która jest uformowana i zamanifestowana w naszym Zgromadzeniu, wyzwoli urząd Kalifatu i Sułtanatu spod obcej presji i podejmie środki w celu uratowania państwa osmańskiego przed rozpadem i niewolą. Cały cywilizowany świat i ludzkość, którzy obserwują nasze działania krok po kroku z przekonaniem, że naród, który cieszy się pełną niezależnością, który jest dumny ze swojego sumiennego przywiązania do urzędu Kalifatu i który widzi w sobie zrozumienie życia w świecie islamskim, nie może być niewolnikiem, pomoże wam."
